	001A	001B	002B	003A	004B	006A	006B	008A	008B	009A	009B	010A	010B	012A	012B	013A	013B	014B	015B	016B	017B	018B	019A	020B	27S	30S	31S	4S
PTS system, galactosamine-specific IIB component (EC 2.7.1.69)	2	0	0	0	0	0	0	2	0	5	0	1	0	2	1	1	0	4	0	0	2	1	0	0	1	1	1	1
PTS system, galactosamine-specific IIC component (EC 2.7.1.69)	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0
PTS system, galactosamine-specific IID component (EC 2.7.1.69)	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0
PTS system, galactose-inducible IIA component (EC 2.7.1.69)	32	145	3	2	2	13	3	23	26	19	265	11	179	3	13	9	143	9	1	9	11	2	117	477	64	169	2	327
PTS system, galactose-inducible IIB component (EC 2.7.1.69) / PTS system, galactose-inducible IIC component (EC 2.7.1.69)	579	2	0	0	47	12	69	5	479	19	1	25	1	15	7	2	67	4	1	4	9	6	20	17	6	5	2	2
PTS system, galactose-specific IIA component (EC 2.7.1.69)	1493	713	3265	3145	141	28	195	3172	1491	23178	278	66	356	12545	297	908	14	4681	37	43494	41	8092	6133	37	182	845	942	1535
PTS system, galactose-specific IIB component (EC 2.7.1.69)	3260	51	2617	2959	629	22	203	2157	8505	11645	7	34	23	5275	226	511	26	3014	34	32405	27	5274	2779	52	156	386	2436	50
PTS system, galactose-specific IIC component (EC 2.7.1.69)	3020	56	1609	2508	401	30	195	1495	6128	8222	21	52	35	4251	192	466	25	1937	61	27761	30	3851	2425	62	130	216	1107	50
PTS system, glucitol/sorbitol-specific IIA component (EC 2.7.1.69)	4670	10707	5834	5766	6316	19	3913	3663	3310	2160	3365	80	3647	2807	1819	2390	19	2473	27	8420	2195	632	7460	66	608	3327	1374	5028
PTS system, glucitol/sorbitol-specific IIB component and second of two IIC components (EC 2.7.1.69)	0	0	2	0	2	1	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	1	2	0	0	0	0	0
PTS system, glucitol/sorbitol-specific IIC component (EC 2.7.1.69)	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0
PTS system, glucose-specific IIA component (EC 2.7.1.69)	2	2	2	3	2	24	3	11	34	13	2	4	2	6	2	5	11	17	2	7	8	13	13	2	2	2	2	2
PTS system, glucose-specific IIC component (EC 2.7.1.69)	1	0	0	0	1	306	0	5	1	606	0	35	1	375	9	70	0	77	0	8	247	4	0	1	3	0	114	1
PTS system, lactose-specific IIA component (EC 2.7.1.69)	2555	67	23	634	2132	17	103	986	1263	117	14	56	7	216	1289	1445	5	840	2	5	5	3	940	1700	150	42	4282	54
PTS system, lactose-specific IIC component (EC 2.7.1.69)	1188	32	15	720	1223	29	60	908	612	95	11	78	6	203	809	1634	2	664	7	9	22	6	823	259	335	91	11603	149
PTS system, maltose and glucose-specific IIA component (EC 2.7.1.69)	20	52	7	4	16	1	6	2	10	3	10	1	8	7	4	4	1	7	291	9	10	1	23	13	0	0	0	0
PTS system, maltose and glucose-specific IIC component (EC 2.7.1.69)	6	10418	1413	202	2620	12	9	32	22	27	2421	9	5425	20	11	20	11	21	8	14	27	13	1806	1718	19	14673	5364	4620
PTS system, mannitol-specific cryptic IIA component (EC 2.7.1.69)	1	2	2	1	2	5	1	8	4	5	1	3	2	2	5	2	133	7	1	3	2	2	3	1	2	2	5	2
PTS system, mannitol-specific cryptic IIC component (EC 2.7.1.69)	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTS system, mannitol-specific IIA component (EC 2.7.1.69)	72	1090	91	969	11	13	4	389	7	48	105	782	2552	100	1592	178	4	363	3	683	1426	1165	732	3	219	50	378	174
PTS system, mannitol-specific IIB component (EC 2.7.1.69)	0	361	24	1	0	1	0	77	1	0	34	1	965	0	0	0	0	1	1	1	1	0	163	0	3	63	448	216
PTS system, mannose-specific IIA component (EC 2.7.1.69)	24418	36444	35597	63526	47275	12022	28216	70824	11764	38378	13626	18633	16454	51729	15641	43645	558	69283	757	60556	41247	4610	132214	25895	7766	13203	31101	17927
PTS system, mannose-specific IIB component (EC 2.7.1.69)	4557	30	6290	20639	1421	84	604	3874	2899	3574	425	1237	62	5645	576	2043	38	1157	31	15597	1380	974	8894	75	674	396	1810	29
PTS system, mannose-specific IIC component (EC 2.7.1.69)	18000	16321	46858	80068	53887	9120	33535	100256	22535	48206	6758	31308	8053	83199	24754	65586	676	84338	1024	97215	53883	5593	155674	21736	14970	10817	46260	14826
PTS system, mannose-specific IID component (EC 2.7.1.69)	17038	18487	23881	41461	28512	6888	20639	33266	17020	19701	7962	21806	7995	38582	8468	38086	732	33691	479	45940	17732	2771	84538	18655	11126	16219	36907	23635
PTS system, N-acetylgalactosamine- and galactosamine-specific IIA component (EC 2.7.1.69)	2852	3	1	2	803	416	311	122	503	894	2	548	3	120	84	335	3	855	9	226	697	261	5	83	168	1	195	1
PTS system, N-acetylgalactosamine-specific IIB component (EC 2.7.1.69)	2	11	1	1	1	17	1	3	1	35	1	10	1	1	8	6	27	6	1	1	3	3	4	1	4	1	1	1
PTS system, N-acetylgalactosamine-specific IIC component (EC 2.7.1.69)	1990	3	1	0	319	0	129	0	270	0	1	2	0	1	1	0	0	1	2	0	1	0	0	35	0	0	0	0
PTS system, N-acetylgalactosamine-specific IID component (EC 2.7.1.69)	1707	1	1	1	439	1	249	0	333	0	1	3	1	0	1	0	1	1	0	2	1	0	2	50	0	5	0	0
PTS system, N-acetylglucosamine-specific IIC component (EC 2.7.1.69)	507	10499	4791	2179	3219	539	3450	1352	129	1237	3453	58	5421	2996	1443	1329	20	1008	21	8911	4028	462	11679	3188	1245	14681	9647	5076
PTS system, sorbose-specific IIB component (EC 2.7.1.69)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
PTS system, sorbose-specific IIC component (EC 2.7.1.69)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0
PTS system, sorbose-specific IID component (EC 2.7.1.69)	0	8	1	0	0	1	1	6	0	4	5	1	2	0	0	0	0	0	0	0	0	0	0	0	5	2	67	32
PTS system, sucrose-specific IIC component (EC 2.7.1.69)	6	174	26	18	172	89	12	14	11	135	87	14	162	85	40	18	10	12	5	4	12	4	28	477	8	54	509	81
PTS system, trehalose-specific IIA component (EC 2.7.1.69)	2066	341	40	20	145	1	50	7	145	0	129	2	226	0	1	1	0	1	4	0	1	2	96	2	5	87	31	152
PTS system, trehalose-specific IIC component (EC 2.7.1.69)	0	0	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0
Pullulanase (EC 3.2.1.41)	131	114	1790	4314	1688	1941	959	17346	2478	3459	74	2177	42	3688	3974	2553	29	4421	91	5451	10407	5898	2076	59	1510	55	4018	18
Pup ligase PafA, possible component of postulated heterodimer PafA-PafA'	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Pup ligase PafA' paralog, possible component of postulated heterodimer PafA-PafA'	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Purine nucleoside phosphorylase (EC 2.4.2.1)	26	56	37	1637	16	4246	22	3953	209	6778	24	7756	510	4329	3425	4537	2735	5775	445	2960	11965	5539	79	25	3521	19	1211	19
Purine nucleotide synthesis repressor	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0
Purine trans deoxyribosylase (Nucleoside deoxyribosyltransferase-I) (EC 2.4.2.6)	546	3735	8863	1916	9229	11	5599	2087	1687	973	2459	18	1402	3016	911	987	15	868	15	2326	878	148	7353	2884	683	2933	2377	5623
PurR: transcription regulator associated with purine metabolism	14	2	4	1	6	1	2	3	17	2	7	1	1	4	2	1	2	2	97	4	1	1	6	17	1	5	5	4
Putative ABC transporter (ATP-binding protein), spy1791 homolog	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	2	1
Putative ABC transporter ATP-binding protein, spy1790 homolog	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Putative ABC transporter of substrate X, permease subunit II	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Putative activity regulator of membrane protease YbbK	3	9	4	47	5	643	3	371	41	841	3	1766	8	267	413	302	8	523	107	444	1159	545	32	3	312	4	303	4
Putative aldolase YdjI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Putative amino-acid transport protein	3	9	3	311	3	594	3	3504	7	743	3	119	5	356	481	480	1502	2118	5	314	549	258	9	3	97	2	503	1
Putative antibiotic transport-associated protein	0	0	0	0	0	3	0	0	0	0	0	2	0	2	3	1	0	1	0	1	4	1	0	0	0	0	0	0
Putative arylsulfatase regulatory protein	2	1	2	15	0	184	1	19	1	187	0	1354	0	678	0	1	0	2	44	14	1	1	33	0	7	0	141	1
putative ATP-dependent DNA helicase YjcD	0	2	0	0	0	8	0	2	2	6	0	2	0	7	4	1	1	0	0	0	1	3	0	0	1	0	0	0
Putative capsular polysaccharide transport protein YegH	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Putative carbohydrate kinase in cluster with fructose-bisphosphate aldolase	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	153	0	1	0	1	550
Putative carbohydrate PTS system, IIA component (EC 2.7.1.69)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	1	118	0	1	2	2	533
Putative carbohydrate PTS system, IIB component (EC 2.7.1.69)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	427
Putative carbohydrate PTS system, IIC component (EC 2.7.1.69)	0	0	0	0	5	0	1	0	0	3	0	0	0	0	1	1	0	3	0	0	3	0	172	0	0	1	1	730
Putative CDP-glycerol:glycerophosphate glycerophosphotransferase (EC 2.7.8.-)	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Putative CDP-glycosylpolyol phosphate:glycosylpolyol glycosylpolyolphosphotransferase	94	1	0	0	0	8	0	22	818	14	1	9	1	9	207	5	0	45	1	116	357	313	3	2	11	0	50	0
Putative conjugative transposon mobilization protein BF0132	629	924	234	354	260	281	265	165	231	195	775	124	263	227	288	203	113	424	7	573	649	250	865	364	172	4	64	4
Putative coproporphyrinogen III oxidase of BS HemN-type, oxygen-independent (EC 1.3.99.22), in heat shock gene cluster	53	64	36	629	30	1565	29	855	337	1487	31	372	33	1226	1489	504	926	712	134	634	1367	836	44	55	190	3	461	3
Putative cytochrome C-type biogenesis protein	1	1	67	1	1	9	1	1	48	9	1	2	2	3	1	1	1	1	1	1	3	1	1	1	1	1	1	1
Putative cytoplasmic protein clustered with trehalase	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Putative deacetylase YgeY	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Putative deoxyribonuclease similar to YcfH, type 4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Putative deoxyribonuclease YcfH	4197	6067	5253	6249	6468	2259	2648	5639	5194	5872	4339	3066	2248	4263	3715	3516	1662	5989	229	5284	6361	2737	4314	1749	2599	1366	1820	1450
Putative deoxyribonuclease YjjV	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0
Putative deoxyribose-specific ABC transporter, ATP-binding protein	1	1	0	0	0	4	0	2	0	11	1	5	2	1	3	6	0	13	50	2	9	5	1	0	0	0	0	0
Putative deoxyribose-specific ABC transporter, permease protein	3	3	3	3	3	1751	4	47	5	2925	1	247	1	1487	183	538	1	541	88	109	591	146	4	2	4	1	605	1
Putative DHNTP pyrophosphatase	2	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Putative diaminopropionate ammonia-lyase (EC 4.3.1.15)	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Putative dihydroxyacetone kinase (EC 2.7.1.29), ADP-binding subunit	1	2	0	0	0	213	3	18	0	869	0	302	1	205	672	840	0	326	3	240	721	76	1	0	0	0	517	0
Putative dihydroxyacetone kinase (EC 2.7.1.29), dihydroxyacetone binding subunit	0	2	0	1	1	327	2	16	2	1091	0	389	0	310	671	1274	0	499	0	220	742	113	2	1	0	0	879	0
Putative DNA-binding protein in cluster with Type I restriction-modification system	7	4	1089	2660	1517	557	10	117	13	1212	3	507	4	125	343	368	10	551	6	157	185	532	54	2	556	2	31	2
Putative efflux (PET) family inner membrane protein YccS	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Putative EsaC protein analog (Listeria type 3)	1	1	1	1	1	1	1	1	1	1	1	2	1	1	13	4	1	2	90	1	2	2	4	1	2	2	2	2
putative esterase	6	4	5	2	10	41	4	4	17	867	13	269	1	55	81	292	1	8	72	3	4219	6	4	25	1	1	8	1
Putative esterase, FIGfam005057	3	1	2	2	2	73	2	305	12	394	3	1469	1	52	615	520	2	1279	5	200	2528	1099	1	2	655	1	120	1
Putative formate dehydrogenase oxidoreductase protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Putative glutathione transporter, ATP-binding component	4	0	1	116	1	2	0	72	0	11	0	35	0	12	65	18	0	229	1	24	89	104	1	1	74	2	1	1
Putative glutathione transporter, permease component	48	1	1	205	1	10	0	86	222	19	1	44	1	56	224	35	1	21	0	94	369	209	21	0	41	1	209	1
Putative glycogen debranching enzyme, archaeal type, TIGR01561	2	8	4	55	4	269	3	113	31	146	2	3671	3	108	1036	745	2	1008	68	357	2793	1005	16	4	240	1	212	1
Putative glycosyltransferase	6	37	14	73	251	120	5	91	18	184	3	333	5	39	226	433	2	615	72	99	988	380	12	463	389	16	113	1
putative glycosyltransferase - possibly involved in cell wall localization and side chain formation of rhamnose-glucose polysaccharide	0	0	0	0	0	111	0	0	0	4	0	39	0	38	7	6	0	32	0	0	9	1	0	0	1	0	4	0
Putative GTP-binding protien TM0445	3	10	2	335	2	406	2	538	14	383	4	73	78	570	1212	179	805	207	3	532	509	387	29	3	337	2	370	1
Putative heat shock protein YegD	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Putative Heme-regulated two-component response regulator	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Putative Holliday junction resolvase (EC 3.1.-.-)	9192	21801	18315	21451	25195	4199	15257	20091	9755	15105	11901	10178	6915	17808	12726	14864	2686	20411	612	24609	21225	9669	28270	6239	8424	5209	6127	6188
Putative inner membrane protein YjeT (clustered with HflC)	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1
Putative lipase in cluster with Phosphatidate cytidylyltransferase	0	1	1	0	0	1	0	0	1	1	1	1	2	0	0	1	0	0	3	2	1	0	0	1	0	0	0	0
Putative lipoprotein, similar to CjrA of Escherichia coli O164	1	0	0	0	0	19	0	6	15	244	0	3	0	25	59	5	0	5	0	0	52	7	0	0	3	0	12	0
Putative membrane protein precursor SPs0273	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	73	0	0	0	5	0	0	0	2	0
Putative membrane protein YeiH	536	941	393	184	24	228	63	314	673	612	1163	2515	684	200	324	1154	17	1496	95	132	2724	828	152	25	3172	330	2143	620
Putative membrane protein YfcA	165	1158	86	76	196	210	39	166	117	63	630	51	717	65	173	115	249	155	6	162	294	99	204	519	42	437	100	926
Putative membrane protein, clustering with ActP	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Putative membrane transporter ATPase,YhiD	249	40	737	1548	1024	74	511	1430	281	765	23	82	10	815	341	758	525	1210	12	1267	732	310	1209	521	469	63	210	118
Putative metal chaperone, involved in Zn homeostasis, GTPase of COG0523 family	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	3	0	0	1	0	0	0	0	0
Putative metallopeptidase (Zinc) SprT family	4	5	3	3	25	1	1	5	3	2	1	2	2	2	3	2	3	3	94	2	5	2	3	324	2	3	2	14
Putative mobilization protein BF0133	4	3	3	2	2	39	2	5	2	14	1	22	2	27	3	49	2	36	4	10	59	8	2	3	11	2	5	2
Putative N-acetylgalactosaminyl-diphosphoundecaprenol glucuronosyltransferase	1	4	0	0	0	927	0	6	1	1249	1	95	1	771	150	141	0	191	0	33	150	31	0	2	2	4	319	5
Putative nucleoside transporter YegT	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Putative Nudix hydrolase YfcD (EC 3.6.-.-)	79	8	1	1	6	25	4735	822	25	228	1	57	4	2375	1635	75	6	1149	19	987	103	17	3527	4	184	142	6	26
Putative oxidoreductase YcjS (EC 1.-.-.-), NADH-binding	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Putative oxidoreductase YdjL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Putative oxidoreductase YeaE, aldo/keto reductase family	1780	2738	132	7	159	4	1550	6	2971	8	1182	2	1182	4	10	7	4	4	2	11	6	3	155	44	2	1221	107	1133
Putative oxidoreductase YncB	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Putative parvulin type peptidyl-prolyl isomerase, similarity with PrsA foldase	0	0	1	0	0	0	1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	3	5	4	5
Putative permease often clustered with de novo purine synthesis	44	11	11	909	5	97	7	295	719	314	3	1639	4	176	888	516	13	902	87	704	2616	1584	98	5	562	3	86	4
Putative permease PerM (= YfgO)	0	0	0	0	0	29	0	0	0	2	0	17	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Putative pheromone cAM373 precursor lipoprotein CamS	3595	11120	8106	8273	11324	35	5713	4855	3604	3340	4237	47	3442	3196	2104	3792	29	3184	26	6922	1260	354	7885	4871	1371	5721	2509	6998
Putative pheromone precursor lipoprotein	8	27	10	94	11	518	2	27	138	241	2	158	4	221	81	12	52	34	12	73	172	140	26	2	115	42	79	40
Putative phosphatase YieH	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Putative phosphatase YqaB	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0
Putative phosphoenolpyruvate synthase/pyruvate phosphate dikinase, N-terminal domain	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Putative phosphoesterase, GBAA2539 homolog	0	2	0	0	0	146	1	2	1	16	0	4	0	18	8	0	0	0	0	0	10	5	0	0	0	0	0	0
Putative predicted metal-dependent hydrolase	3	7	310	740	345	487	150	1297	7	757	16	97	3	1025	535	502	580	620	3	637	736	373	441	4	201	12	199	5
Putative prenyltransferase, contains 1,4-dihydroxy-2-naphthoate octaprenyltransferase domain	502	519	25	3	49	9	95	11	884	3	199	1	215	4	2	3	2	4	1	1	3	1	34	3	5	394	54	745
Putative preQ0 transporter	6	11	4	18	4	322	4	119	16	379	2	2501	5	112	468	1596	3	436	99	56	1699	1162	10	5	1808	5	265	2
Putative primase, superantigen-encoding pathogenicity islands SaPI	0	0	15	0	2	0	0	2	0	0	144	1	185	1	1	0	1	0	0	0	0	0	39	0	0	0	11	302
Putative reductase (alkanesulfonate metabolism)	1	0	1	0	0	261	1	0	1	3	0	0	1	105	531	0	0	0	1	0	2	0	1	0	0	0	326	0
Putative regulator of the mannose operon, ManO	2847	11236	24729	40061	24012	1099	41287	44512	2547	17772	5230	7578	4194	34489	12233	65360	129	32215	161	45419	45014	2056	87568	16483	5415	10130	34590	16598
Putative regulatory protein associated with the ectoine operon	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Putative ribose uptake protein RbsU, GRP transporter family (TC 2.A.7.5)	4769	619	121	148	1163	3	117	5	1451	5	807	10	330	6	5	3	5	3	77	4	5	3	87	26	6	424	309	628
Putative secretion accessory protein EsaA/YueB	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Putative secretion accessory protein EsaB/YukD	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	6	0	0	1	0	0	1	1	1	1
Putative secretion system component EssB/YukC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0
Putative sensor-like histidine kinase YfhK	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Putative sensory histidine kinase YfhA	0	0	0	0	0	5	0	0	1	0	1	0	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0
Putative signal peptidase I (EC 3.4.21.89)	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0
Putative stomatin/prohibitin-family membrane protease subunit YbbK	320	1965	876	2153	1255	2333	715	3198	663	5807	1138	5045	824	3898	1932	4121	14	5711	130	2701	6451	2088	1512	352	1140	1518	1191	2340
Putative succinate dehydrogenase cytochrome b subunit	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0
Putative sucrose phosphorylase (EC 2.4.1.7)	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Putative sugar ABC transport system, ATP-binding protein YtfR (EC 3.6.3.17)	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0
Putative sugar ABC transport system, periplasmic binding protein YtfQ precursor	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0
Putative sugar ABC transport system, permease protein YtfT	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Putative sugar isomerase involved in processing of exogenous sialic acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Putative sugar transporter	1	3	2	10	2	62	2	61	5	111	1	315	2	16	79	175	2	300	94	45	565	251	41	2	366	2	40	1
Putative sulfate permease	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Putative tail or base plate protein gp17 [Bacteriophage A118]	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Putative TEGT family carrier/transport protein	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	3	0	1	0	0	0	0	0
Putative teichuronic acid biosynthesis glycosyl transferase TuaC	0	0	0	0	0	1	0	1	3	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Putative Ton-B dependent hemine receptor	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Putative transcriptional regulator of sorbose uptake and utilization genes	5439	132	14770	19591	14501	89	8368	6900	12138	4818	229	105	52	7258	3393	3491	61	6489	106	14558	4261	640	16089	179	1881	620	3277	263
Putative transcriptional regulator of unknown carbohydrate utilization cluster, GntR family	1	1	1	1	1	2	1	3	2	4	1	3	1	3	7	2	13	1	1	1	2	1	322	2	47	42	33	34528
Putative transport protein YdjK, MFS superfamily	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Putative two component system histidine kinase YedV	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Putative two-component response regulator and GGDEF family protein YeaJ	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Putative two-component system response regulator YedW	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Putative two-domain glycosyltransferase	1	1	1	2	1	6	1	6	2	59	1	2	1	10	26	1	1	10	1	1	87	10	52	1	2	1	6	1
Putative uncharacterized protein in cluster with two glycosyl transferases	1	0	0	0	0	106	0	5	0	228	0	15	1	162	17	32	0	20	0	7	16	6	1	1	0	0	195	0
Putative xanthosine permease	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PutR, transcriptional activator of PutA and PutP	0	1	0	0	0	178	2	24	0	209	0	1774	2	868	1	2	0	2	0	1	1	6	1	0	1	1	4	1
Putrescine ABC transporter putrescine-binding protein PotF (TC 3.A.1.11.2)	0	1	0	0	0	1	0	0	0	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Putrescine aminotransferase (EC 2.6.1.82)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Putrescine importer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Putrescine transport ATP-binding protein PotA (TC 3.A.1.11.1)	587	2246	1365	1439	1868	591	733	903	794	1526	1277	207	952	1218	585	764	13	748	56	1054	667	157	1116	721	549	1082	1055	880
Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2)	6	0	0	0	0	10	0	5	11	6	0	3	0	1	8	2	15	1	0	1	15	4	8	1	0	0	0	0
Putrescine transport system permease protein PotH (TC 3.A.1.11.2)	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Putrescine transport system permease protein PotI (TC 3.A.1.11.2)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Putrescine/proton symporter, putrescine/ornithine antiporter PotE	12	11	12	311	3	577	4	473	179	817	2	706	5	856	588	303	678	602	92	455	2219	945	124	4	1215	2	911	1
Pyoverdine sidechain non-ribosomal peptide synthetase PvdJ	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyridoxal kinase (EC 2.7.1.35)	1209	12741	929	652	418	198	296	803	860	773	5633	2151	4252	271	1121	1253	1577	1764	18	1091	2509	1415	981	12	692	2289	864	2564
Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)	1	0	0	0	0	73	0	2	0	1	0	8	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Pyridoxine 5'-phosphate synthase (EC 2.6.99.2)	0	0	0	0	0	5	0	0	0	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
